,abv,ibu,id,name,style,brewery_id,ounces,name_style,super_category,type
43,0.045,18.0,2544,Send Help,American Blonde Ale,60,12.0,send helpamerican blonde ale,ale,0.0
49,0.05,28.0,1870,Contact High,American Pale Wheat Ale,60,12.0,contact highamerican pale wheat ale,ale,0.0
51,0.05,45.0,2602,Citrafest,American IPA,27,16.0,citrafestamerican ipa,ale,0.0
53,0.069,65.0,2219,Scarecrow,American IPA,27,16.0,scarecrowamerican ipa,ale,0.0
54,0.09,50.0,2218,Ironman,English Strong Ale,27,16.0,ironmanenglish strong ale,ale,0.0
55,0.046,15.0,2217,Honey Kolsch,Kölsch,27,16.0,honey kolschkölsch,lager,1.0
56,0.052000000000000005,18.0,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,copperhead amberbelgian dark ale,ale,0.0
57,0.059,75.0,972,Rude Parrot IPA,American IPA,481,16.0,rude parrot ipaamerican ipa,ale,0.0
58,0.054000000000000006,30.0,866,British Pale Ale (2010),English Pale Ale,481,16.0,british pale ale (2010)english pale ale,ale,0.0
59,0.054000000000000006,30.0,48,British Pale Ale,English Pale Ale,481,16.0,british pale aleenglish pale ale,ale,0.0
60,0.084,82.0,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,ballz deep double ipaamerican double / imperial ipa,ale,0.0
62,0.055,26.0,1165,Colorado Native,American Amber / Red Lager,462,12.0,colorado nativeamerican amber / red lager,lager,1.0
63,0.055,26.0,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,colorado native (2011)american amber / red lager,lager,1.0
64,0.065,52.0,516,Jockamo IPA,American IPA,533,12.0,jockamo ipaamerican ipa,ale,0.0
65,0.042,13.0,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,purple hazefruit / vegetable beer,lager,1.0
66,0.045,17.0,514,Abita Amber,American Amber / Red Lager,533,12.0,abita amberamerican amber / red lager,lager,1.0
67,0.08199999999999999,68.0,2540,Citra Ass Down,American IPA,62,16.0,citra ass downamerican ipa,ale,0.0
68,0.05,20.0,2539,The Brown Note,American Brown Ale,62,16.0,the brown noteamerican brown ale,ale,0.0
69,0.08,68.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0,citra ass downamerican double / imperial ipa,ale,0.0
70,0.125,80.0,2685,London Balling,English Barleywine,1,16.0,london ballingenglish barleywine,ale,0.0
71,0.077,25.0,2684,35 K,Milk / Sweet Stout,1,16.0,35 kmilk / sweet stout,ale,0.0
72,0.042,42.0,2683,A Beer,American Pale Ale (APA),1,16.0,a beeramerican pale ale (apa),ale,0.0
73,0.05,25.0,2682,Rules are Rules,German Pilsener,1,16.0,rules are rulesgerman pilsener,lager,1.0
74,0.066,21.0,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,flesh gourd'npumpkin ale,ale,0.0
75,0.04,13.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,sho'nuffbelgian pale ale,ale,0.0
76,0.055,17.0,2679,Bloody Show,American Pilsner,1,16.0,bloody showamerican pilsner,lager,1.0
77,0.076,68.0,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0,rico sauvinamerican double / imperial ipa,ale,0.0
78,0.051,38.0,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0,coq de la marchesaison / farmhouse ale,ale,0.0
80,0.06,65.0,2675,Pile of Face,American IPA,1,16.0,pile of faceamerican ipa,ale,0.0
81,0.05,20.0,2674,The Brown Note,English Brown Ale,1,16.0,the brown noteenglish brown ale,ale,0.0
82,0.053,35.0,1594,Maylani's Coconut Stout,American Stout,367,16.0,maylani's coconut stoutamerican stout,ale,0.0
83,0.05,35.0,1162,Oatmeal PSA,American Pale Ale (APA),367,16.0,oatmeal psaamerican pale ale (apa),ale,0.0
84,0.052000000000000005,33.0,1137,Pre Flight Pilsner,American Pilsner,367,16.0,pre flight pilsneramerican pilsner,lager,1.0
85,0.04,20.0,2403,P-Town Pilsner,American Pilsner,117,12.0,p-town pilsneramerican pilsner,lager,1.0
86,0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,klickitat pale aleamerican pale ale (apa),ale,0.0
87,0.08199999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,yellow wolf imperial ipaamerican double / imperial ipa,ale,0.0
88,0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0,freeride apaamerican pale ale (apa),ale,0.0
89,0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0,alaskan amberaltbier,ale,0.0
95,0.062,43.0,837,Desolation IPA,American IPA,401,16.0,desolation ipaamerican ipa,ale,0.0
105,0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,barney flats oatmeal stoutoatmeal stout,ale,0.0
106,0.056,4.0,1350,Summer Solstice,Cream Ale,171,12.0,summer solsticecream ale,ale,0.0
107,0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,hop ottin' ipaamerican ipa,ale,0.0
108,0.058,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,boont amber aleamerican amber / red ale,ale,0.0
109,0.057,13.0,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,barney flats oatmeal stoutoatmeal stout,ale,0.0
110,0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,el steinber dark lagervienna lager,lager,1.0
111,0.058,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,boont amber ale (2010)american amber / red ale,ale,0.0
112,0.056,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,summer solstice cerveza crema (2009)cream ale,ale,0.0
113,0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,barney flats oatmeal stout (2012)oatmeal stout,ale,0.0
114,0.069,6.0,523,Winter Solstice,Winter Warmer,171,12.0,winter solsticewinter warmer,ale,0.0
115,0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0,hop ottin' ipa (2011)american ipa,ale,0.0
116,0.058,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,boont amber ale (2011)american amber / red ale,ale,0.0
117,0.056,4.0,77,Summer Solstice (2011),Cream Ale,171,12.0,summer solstice (2011)cream ale,ale,0.0
118,0.055,28.0,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,poleeko gold pale ale (2009)american pale ale (apa),ale,0.0
128,0.071,75.0,2511,Long Leaf,American IPA,69,16.0,long leafamerican ipa,ale,0.0
129,0.047,19.0,2510,Honey Badger Blonde,American Blonde Ale,69,16.0,honey badger blondeamerican blonde ale,ale,0.0
130,0.06,23.0,2509,Porter (a/k/a Black Gold Porter),American Porter,69,16.0,porter (a/k/a black gold porter)american porter,ale,0.0
131,0.06,55.0,413,Sky High Rye,American Pale Ale (APA),541,12.0,sky high ryeamerican pale ale (apa),ale,0.0
132,0.062,17.0,390,Whitsun,American Pale Wheat Ale,541,12.0,whitsunamerican pale wheat ale,ale,0.0
134,0.092,50.0,1333,Quakertown Stout,American Double / Imperial Stout,426,12.0,quakertown stoutamerican double / imperial stout,ale,0.0
135,0.051,20.0,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,426,12.0,greenbelt farmhouse alesaison / farmhouse ale,ale,0.0
136,0.052000000000000005,10.0,1172,Mo's Gose,Gose,461,16.0,mo's gosegose,ale,0.0
137,0.07,45.0,1322,Green Bullet Organic India Pale Ale,American IPA,429,16.0,green bullet organic india pale aleamerican ipa,ale,0.0
138,0.032,27.0,550,Rocket Girl,Kölsch,528,12.0,rocket girlkölsch,lager,1.0
139,0.053,26.0,429,Ninja Porter,American Porter,528,12.0,ninja porteramerican porter,ale,0.0
140,0.06,69.0,428,Shiva IPA,American IPA,528,12.0,shiva ipaamerican ipa,ale,0.0
144,0.056,27.0,597,This Season's Blonde,American Blonde Ale,523,12.0,this season's blondeamerican blonde ale,ale,0.0
145,0.07,67.0,596,Independence Pass Ale,American IPA,523,12.0,independence pass aleamerican ipa,ale,0.0
146,0.057,40.0,1580,Trolley Stop Stout,American Stout,374,12.0,trolley stop stoutamerican stout,ale,0.0
147,0.08199999999999999,138.0,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,374,12.0,bitter bitch imperial ipaamerican double / imperial ipa,ale,0.0
148,0.062,35.0,979,Poop Deck Porter,American Porter,374,12.0,poop deck porteramerican porter,ale,0.0
149,0.06,35.0,978,Old Red Beard Amber Ale,American Amber / Red Ale,374,12.0,old red beard amber aleamerican amber / red ale,ale,0.0
150,0.075,115.0,2503,Hop A-Peel,American Double / Imperial IPA,72,16.0,hop a-peelamerican double / imperial ipa,ale,0.0
151,0.055,12.0,2502,Vanilla Java Porter,American Porter,72,16.0,vanilla java porteramerican porter,ale,0.0
153,0.045,8.0,534,Dirty Blonde Ale,American Blonde Ale,72,12.0,dirty blonde aleamerican blonde ale,ale,0.0
154,0.05,62.0,528,Grand Circus IPA,American IPA,72,12.0,grand circus ipaamerican ipa,ale,0.0
155,0.05,12.0,527,Atwater's Lager,Munich Helles Lager,72,12.0,atwater's lagermunich helles lager,lager,1.0
163,0.047,42.0,146,Avery Joe’s Premium American Pilsner,German Pilsener,37,12.0,avery joe’s premium american pilsnergerman pilsener,lager,1.0
164,0.056,10.0,108,White Rascal,Witbier,37,12.0,white rascalwitbier,ale,0.0
165,0.063,69.0,107,Avery India Pale Ale,American IPA,37,12.0,avery india pale aleamerican ipa,ale,0.0
166,0.055,17.0,106,Ellie’s Brown Ale,American Brown Ale,37,12.0,ellie’s brown aleamerican brown ale,ale,0.0
167,0.062,17.0,1620,Pumpkin Beast,Pumpkin Ale,360,12.0,pumpkin beastpumpkin ale,ale,0.0
168,0.07200000000000001,22.0,1579,OktoberBeast,Märzen / Oktoberfest,360,12.0,oktoberbeastmärzen / oktoberfest,ale,0.0
169,0.048,23.0,1228,Mad Beach,American Pale Wheat Ale,360,12.0,mad beachamerican pale wheat ale,ale,0.0
171,0.092,5.0,704,Devils Tramping Ground Tripel,Tripel,360,12.0,devils tramping ground tripeltripel,ale,0.0
172,0.061,41.0,702,Hot Rod Red,American Amber / Red Ale,360,12.0,hot rod redamerican amber / red ale,ale,0.0
179,0.06,43.0,1875,Naked Pig Pale Ale,American Pale Ale (APA),286,12.0,naked pig pale aleamerican pale ale (apa),ale,0.0
180,0.068,70.0,966,Topcutter India Pale Ale,American IPA,483,12.0,topcutter india pale aleamerican ipa,ale,0.0
181,0.044,38.0,965,Field 41 Pale Ale,American Pale Ale (APA),483,12.0,field 41 pale aleamerican pale ale (apa),ale,0.0
183,0.038,40.0,2105,Even Keel,American IPA,34,12.0,even keelamerican ipa,ale,0.0
184,0.052000000000000005,23.0,1401,Ballast Point Pale Ale,Kölsch,34,12.0,ballast point pale alekölsch,ale,0.0
185,0.07,75.0,1400,Big Eye India Pale Ale,American IPA,34,12.0,big eye india pale aleamerican ipa,ale,0.0
186,0.046,17.0,1019,Longfin Lager,Munich Helles Lager,34,12.0,longfin lagermunich helles lager,lager,1.0
187,0.07,70.0,1018,Sculpin IPA,American IPA,34,12.0,sculpin ipaamerican ipa,ale,0.0
189,0.045,20.0,1644,Banner American Rye,Rye Beer,318,12.0,banner american ryerye beer,ale,0.0
190,0.035,45.0,1643,Banner American Ale,American Amber / Red Ale,318,12.0,banner american aleamerican amber / red ale,ale,0.0
191,0.07,46.0,2618,Thai.p.a,American IPA,20,16.0,thai.p.aamerican ipa,ale,0.0
192,0.06,60.0,2005,Barrio Blanco,American IPA,251,12.0,barrio blancoamerican ipa,ale,0.0
194,0.049,22.0,2404,Hop in the ‘Pool Helles,American Pilsner,116,12.0,hop in the ‘pool hellesamerican pilsner,lager,1.0
195,0.067,60.0,2323,Ultra Gnar Gnar IPA,American IPA,116,12.0,ultra gnar gnar ipaamerican ipa,ale,0.0
196,0.068,62.0,2189,In-Tents India Pale Lager,American Pale Lager,116,12.0,in-tents india pale lageramerican pale lager,ale,0.0
197,0.05,20.0,2188,Lost Meridian Wit,Witbier,116,12.0,lost meridian witwitbier,ale,0.0
198,0.051,45.0,2187,Celestial Meridian Cascadian Dark Lager,Euro Dark Lager,116,12.0,celestial meridian cascadian dark lagereuro dark lager,lager,1.0
199,0.054000000000000006,55.0,1966,Wagon Party,California Common / Steam Beer,258,12.0,wagon partycalifornia common / steam beer,lager,1.0
200,0.067,70.0,1965,Sky-Five,American IPA,258,12.0,sky-fiveamerican ipa,ale,0.0
201,0.05,28.0,1964,Stargrazer,Schwarzbier,258,12.0,stargrazerschwarzbier,lager,1.0
202,0.054000000000000006,48.0,1963,Wonderstuff,German Pilsener,258,12.0,wonderstuffgerman pilsener,lager,1.0
204,0.07,42.0,1778,On the Count of 3 (2015),Hefeweizen,292,16.0,on the count of 3 (2015)hefeweizen,ale,0.0
209,0.055,35.0,533,Amber Road,American Amber / Red Ale,292,12.0,amber roadamerican amber / red ale,ale,0.0
210,0.049,28.0,183,Pamola Xtra Pale Ale,American Pale Ale (APA),292,12.0,pamola xtra pale aleamerican pale ale (apa),ale,0.0
211,0.069,69.0,182,Stowaway IPA,American IPA,292,12.0,stowaway ipaamerican ipa,ale,0.0
212,0.08800000000000001,108.0,1806,Hoptopus Double IPA,American Double / Imperial IPA,306,16.0,hoptopus double ipaamerican double / imperial ipa,ale,0.0
213,0.05,10.0,2435,Watermelon Ale,Fruit / Vegetable Beer,103,12.0,watermelon alefruit / vegetable beer,ale,0.0
214,0.058,45.0,2423,Fenway American Pale Ale,American Pale Ale (APA),103,12.0,fenway american pale aleamerican pale ale (apa),ale,0.0
215,0.068,85.0,2420,Back Bay IPA,American IPA,103,12.0,back bay ipaamerican ipa,ale,0.0
216,0.048,16.0,2419,Bunker Hill Blueberry Ale ,Other,103,12.0,bunker hill blueberry ale other,ale,0.0
223,0.044,44.0,2558,Moar,English India Pale Ale (IPA),53,12.0,moarenglish india pale ale (ipa),ale,0.0
225,0.057,27.0,2556,Nordic Blonde,American Blonde Ale,53,12.0,nordic blondeamerican blonde ale,ale,0.0
227,0.07200000000000001,87.0,2410,Harness the Winter,American IPA,75,12.0,harness the winteramerican ipa,ale,0.0
228,0.056,32.0,1902,14° ESB ,Extra Special / Strong Bitter (ESB),75,12.0,14° esb extra special / strong bitter (esb),ale,0.0
229,0.062,68.0,1901,Bent Hop Golden IPA,American IPA,75,12.0,bent hop golden ipaamerican ipa,ale,0.0
230,0.06,34.0,1261,Bent Paddle Black Ale,American Black Ale,75,12.0,bent paddle black aleamerican black ale,ale,0.0
231,0.05,38.0,1253,Venture Pils,German Pilsener,75,12.0,venture pilsgerman pilsener,lager,1.0
232,0.055,40.0,1900,Lost Sailor IPA,English India Pale Ale (IPA),278,12.0,lost sailor ipaenglish india pale ale (ipa),ale,0.0
233,0.053,20.0,1317,Steel Rail Extra Pale Ale,American Pale Ale (APA),278,12.0,steel rail extra pale aleamerican pale ale (apa),ale,0.0
235,0.047,17.0,1157,Tejas Lager,Czech Pilsener,463,12.0,tejas lagerczech pilsener,lager,1.0
239,0.081,17.0,2104,Aprè Shred,American Strong Ale,220,16.0,aprè shredamerican strong ale,ale,0.0
240,0.095,104.0,1762,Hemlock Double IPA,American Double / Imperial IPA,220,12.0,hemlock double ipaamerican double / imperial ipa,ale,0.0
242,0.067,85.0,1067,Disconnected Red,American Amber / Red Ale,220,16.0,disconnected redamerican amber / red ale,ale,0.0
246,0.08,54.0,2639,Dark Star,American Stout,8,16.0,dark staramerican stout,ale,0.0
249,0.075,60.0,2585,Galaxy IPA,American IPA,40,16.0,galaxy ipaamerican ipa,ale,0.0
250,0.05,32.0,643,Big River Pilsner,Czech Pilsener,519,12.0,big river pilsnerczech pilsener,lager,1.0
251,0.06,55.0,632,House Brand IPA,American IPA,519,12.0,house brand ipaamerican ipa,ale,0.0
252,0.062,65.0,1714,Big Sky IPA,American IPA,336,12.0,big sky ipaamerican ipa,ale,0.0
253,0.05,40.0,1713,Scape Goat Pale Ale,English Pale Ale,336,12.0,scape goat pale aleenglish pale ale,ale,0.0
254,0.05,35.0,1712,Montana Trout Slayer Ale,American Pale Wheat Ale,336,12.0,montana trout slayer aleamerican pale wheat ale,ale,0.0
255,0.051,26.0,1711,Moose Drool Brown Ale,American Brown Ale,336,12.0,moose drool brown aleamerican brown ale,ale,0.0
256,0.07200000000000001,60.0,1456,Powder Hound Winter Ale,English Strong Ale,336,12.0,powder hound winter aleenglish strong ale,ale,0.0
257,0.051,26.0,767,Moose Drool Brown Ale (2011),American Brown Ale,336,12.0,moose drool brown ale (2011)american brown ale,ale,0.0
258,0.05,35.0,766,Montana Trout Slayer Ale (2012),American Pale Wheat Ale,336,12.0,montana trout slayer ale (2012)american pale wheat ale,ale,0.0
259,0.062,65.0,579,Big Sky IPA (2012),American IPA,336,12.0,big sky ipa (2012)american ipa,ale,0.0
261,0.05,40.0,159,Scape Goat Pale Ale (2010),English Pale Ale,336,12.0,scape goat pale ale (2010)english pale ale,ale,0.0
262,0.05,35.0,35,Montana Trout Slayer Ale (2009),American Pale Wheat Ale,336,12.0,montana trout slayer ale (2009)american pale wheat ale,ale,0.0
263,0.051,26.0,34,Moose Drool Brown Ale (2009),American Brown Ale,336,12.0,moose drool brown ale (2009)american brown ale,ale,0.0
264,0.069,81.0,2096,Arcus IPA,American IPA,221,12.0,arcus ipaamerican ipa,ale,0.0
265,0.058,38.0,2095,Wavemaker,American Amber / Red Ale,221,12.0,wavemakeramerican amber / red ale,ale,0.0
266,0.053,43.0,1257,Jack Pine Savage,American Pale Ale (APA),444,16.0,jack pine savageamerican pale ale (apa),ale,0.0
267,0.099,85.0,1256,Forest Fire Imperial Smoked Rye,Rye Beer,444,16.0,forest fire imperial smoked ryerye beer,ale,0.0
268,0.098,76.0,1255,Bad Axe Imperial IPA,American Double / Imperial IPA,444,16.0,bad axe imperial ipaamerican double / imperial ipa,ale,0.0
269,0.055,35.0,986,Morning Wood,Oatmeal Stout,444,16.0,morning woodoatmeal stout,ale,0.0
270,0.066,50.0,985,Bark Bite IPA,American IPA,444,16.0,bark bite ipaamerican ipa,ale,0.0
271,0.055,45.0,2508,Jalapeno Pale Ale,American Pale Ale (APA),70,16.0,jalapeno pale aleamerican pale ale (apa),ale,0.0
275,0.07200000000000001,75.0,2620,Saucy Intruder,Rye Beer,18,16.0,saucy intruderrye beer,ale,0.0
276,0.045,16.0,2412,Deception,American Blonde Ale,112,12.0,deceptionamerican blonde ale,ale,0.0
277,0.075,35.0,1898,Blackmarket Rye IPA,American IPA,112,12.0,blackmarket rye ipaamerican ipa,ale,0.0
278,0.05,8.0,1897,Black Market Hefeweizen,Hefeweizen,112,12.0,black market hefeweizenhefeweizen,ale,0.0
279,0.058,44.0,1896,Aftermath Pale Ale,American Pale Ale (APA),112,12.0,aftermath pale aleamerican pale ale (apa),ale,0.0
280,0.071,83.0,1850,American India Red Ale,American Strong Ale,294,12.0,american india red aleamerican strong ale,ale,0.0
281,0.071,45.0,1849,American Red Porter,American Porter,294,12.0,american red porteramerican porter,ale,0.0
282,0.078,34.0,1848,American Red Saison,Saison / Farmhouse Ale,294,12.0,american red saisonsaison / farmhouse ale,ale,0.0
283,0.066,44.0,1847,Colorado Red Ale,American Amber / Red Ale,294,12.0,colorado red aleamerican amber / red ale,ale,0.0
284,0.048,16.0,2485,Saddle Bronc Brown Ale,American Brown Ale,79,12.0,saddle bronc brown aleamerican brown ale,ale,0.0
285,0.046,20.0,2484,Bomber Mountain Amber Ale,American Amber / Red Ale,79,12.0,bomber mountain amber aleamerican amber / red ale,ale,0.0
287,0.048,47.0,2634,Nordskye ,American IPA,12,12.0,nordskye american ipa,ale,0.0
288,0.06,30.0,2153,North Third Stout,Foreign / Export Stout,12,12.0,north third stoutforeign / export stout,ale,0.0
291,0.07,51.0,1481,51K IPA,American IPA,12,12.0,51k ipaamerican ipa,ale,0.0
298,0.052000000000000005,21.0,1303,6-4-3 Double Play Pilsner,German Pilsener,380,12.0,6-4-3 double play pilsnergerman pilsener,lager,1.0
303,0.056,37.0,888,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,1327 pod's esbextra special / strong bitter (esb),ale,0.0
304,0.056,37.0,886,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,1327 pod's esbextra special / strong bitter (esb),ale,0.0
305,0.056,37.0,612,1327 Pod's ESB,Extra Special / Strong Bitter (ESB),380,12.0,1327 pod's esbextra special / strong bitter (esb),ale,0.0
306,0.046,35.0,611,834 Happy As Ale,American Pale Ale (APA),380,12.0,834 happy as aleamerican pale ale (apa),ale,0.0
309,0.08,80.0,1812,Quarter Mile Double IPA,American Double / Imperial IPA,304,12.0,quarter mile double ipaamerican double / imperial ipa,ale,0.0
310,0.059,60.0,1547,Full Nelson Pale Ale,American Pale Ale (APA),382,12.0,full nelson pale aleamerican pale ale (apa),ale,0.0
311,0.065,30.0,1546,Steel Wheels ESB,Extra Special / Strong Bitter (ESB),382,12.0,steel wheels esbextra special / strong bitter (esb),ale,0.0
312,0.053,22.0,1545,Blue Mountain Classic Lager,Euro Pale Lager,382,12.0,blue mountain classic lagereuro pale lager,ale,0.0
313,0.059,60.0,119,Full Nelson Pale Ale (2010),American Pale Ale (APA),382,12.0,full nelson pale ale (2010)american pale ale (apa),ale,0.0
314,0.049,16.0,1408,Kölsch 151,Kölsch,414,12.0,kölsch 151kölsch,lager,1.0
320,0.06,40.0,692,Blue Point White IPA,American White IPA,489,12.0,blue point white ipaamerican white ipa,ale,0.0
321,0.044,16.0,667,Blue Point Summer Ale,American Blonde Ale,489,12.0,blue point summer aleamerican blonde ale,ale,0.0
322,0.055,28.0,665,Toasted Lager,Vienna Lager,489,12.0,toasted lagervienna lager,lager,1.0
327,0.05,24.0,88,Viennese Lager,Vienna Lager,364,12.0,viennese lagervienna lager,lager,1.0
331,0.042,30.0,1891,Longhop IPA,American IPA,281,16.0,longhop ipaamerican ipa,ale,0.0
332,0.04,34.0,1890,Lucky Buck,Irish Dry Stout,281,16.0,lucky buckirish dry stout,ale,0.0
334,0.045,27.0,513,Bomb Lager (Old Recipe),Munich Helles Lager,525,12.0,bomb lager (old recipe)munich helles lager,lager,1.0
335,0.066,72.0,2422,Firestarter India Pale Ale,American IPA,107,12.0,firestarter india pale aleamerican ipa,ale,0.0
336,0.075,22.0,1727,Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,107,16.0,kilt dropper scotch alescotch ale / wee heavy,ale,0.0
337,0.048,30.0,1614,Wood Splitter Pilsner,Czech Pilsener,107,16.0,wood splitter pilsnerczech pilsener,lager,1.0
338,0.056,26.0,1613,Gyptoberfest,Märzen / Oktoberfest,107,12.0,gyptoberfestmärzen / oktoberfest,ale,0.0
339,0.07,94.0,1549,Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),107,16.0,farmer wirtz india pale aleenglish india pale ale (ipa),ale,0.0
344,0.048,38.0,1360,Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),107,12.0,screaming eagle special ale esbextra special / strong bitter (esb),ale,0.0
345,0.049,19.0,1184,Dirtbag Dunkel,Munich Dunkel Lager,107,16.0,dirtbag dunkelmunich dunkel lager,lager,1.0
346,0.053,45.0,1183,Kindler Pale Ale,American Pale Ale (APA),107,12.0,kindler pale aleamerican pale ale (apa),ale,0.0
353,0.066,72.0,633,Firestarter India Pale Ale,American IPA,107,16.0,firestarter india pale aleamerican ipa,ale,0.0
354,0.071,16.0,2062,Noche Dulce,American Porter,231,16.0,noche dulceamerican porter,ale,0.0
356,0.065,45.0,1629,Rebel IPA,American IPA,300,16.0,rebel ipaamerican ipa,ale,0.0
358,0.056,22.0,1427,Samuel Adams Winter Lager,Bock,300,12.0,samuel adams winter lagerbock,lager,1.0
359,0.049,30.0,1349,Boston Lager,Vienna Lager,300,16.0,boston lagervienna lager,lager,1.0
360,0.049,30.0,1310,Boston Lager,Vienna Lager,300,12.0,boston lagervienna lager,lager,1.0
361,0.053,15.0,1281,Samuel Adams Octoberfest,Märzen / Oktoberfest,300,12.0,samuel adams octoberfestmärzen / oktoberfest,ale,0.0
362,0.053,7.0,1144,Samuel Adams Summer Ale,American Pale Wheat Ale,300,12.0,samuel adams summer aleamerican pale wheat ale,ale,0.0
363,0.049,30.0,1143,Boston Lager,Vienna Lager,300,12.0,boston lagervienna lager,lager,1.0
364,0.049,35.0,1395,Hazed & Infused,American Pale Ale (APA),417,12.0,hazed & infusedamerican pale ale (apa),ale,0.0
365,0.057,35.0,808,Hoopla Pale Ale,American Pale Ale (APA),417,12.0,hoopla pale aleamerican pale ale (apa),ale,0.0
366,0.049,35.0,81,Hazed & Infused (2010),American Pale Ale (APA),417,12.0,hazed & infused (2010)american pale ale (apa),ale,0.0
367,0.062,80.0,2596,Heavy Lifting,American IPA,31,12.0,heavy liftingamerican ipa,ale,0.0
371,0.06,52.0,2107,Plum St. Porter,American Porter,219,12.0,plum st. porteramerican porter,ale,0.0
372,0.057,52.0,1573,Plum St. Porter,American Porter,219,12.0,plum st. porteramerican porter,ale,0.0
373,0.07,80.0,1289,Bozone HopZone IPA,American IPA,219,12.0,bozone hopzone ipaamerican ipa,ale,0.0
374,0.06,25.0,1288,Bozone Hefe Weizen,Hefeweizen,219,12.0,bozone hefe weizenhefeweizen,ale,0.0
376,0.052000000000000005,40.0,2167,Evil Owl,American Amber / Red Ale,207,12.0,evil owlamerican amber / red ale,ale,0.0
378,0.042,9.0,1522,Agave Wheat,American Pale Wheat Ale,391,12.0,agave wheatamerican pale wheat ale,ale,0.0
379,0.045,15.0,397,SummerBright Ale,American Pale Wheat Ale,391,12.0,summerbright aleamerican pale wheat ale,ale,0.0
